Sample ID,Site,Block ,Treatment,Study Year,Date ,NH4,NH4_LOD,NO3,N03_LOD,Mg,Mg_LOD,P,P_LOD,EC,pH
AB1PC0,A,1,PC0,1,12_27_23,0.506126885,0.18063,103.4606123,2.083959905,43.87,1.6646,0.167,0.0098,0.61,7.92
AB1PC1,A,1,PC1,1,12_27_23,1.098469601,0.18063,91.66874588,1.978639593,63.61,1.6646,0.2113,0.0098,0.88,7.6
AB1PC2,A,1,PC2,1,12_27_23,LOD,0.18063,53.77443794,2.445265054,27.2,1.6646,0.2554,0.0098,0.41,7.69
AB1MC0,A,1,MC0,1,12_27_23,2.762015984,0.18063,106.9064159,2.083959905,29.76,1.6646,0.601,0.0098,0.88,8.48
AB1MC1,A,1,MC1,1,12_27_23,3.304293247,0.18063,32.15964636,2.445265054,158.82,1.6646,0.2292,0.0098,2.15,NA
AB1MC2,A,1,MC2,1,12_27_23,NA,0.18063,NA,NA,NA,1.6646,NA,0.0098,NA,NA
AB2PC0,A,2,PC0,1,12_27_23,0.355537936,0.18063,155.1507991,2.083959905,36.95,1.6646,0.1182,0.0098,0.64,7.78
AB2PC1,A,2,PC1,1,12_27_23,LOD,0.18063,106.9563559,2.083959905,29.96,1.6646,0.2311,0.0098,0.59,7.57
AB2PC2,A,2,PC2,1,12_27_23,NA,0.18063,NA,NA,NA,1.6646,NA,0.0098,NA,NA
AB2MC0,A,2,MC0,1,12_27_23,3.268952934,0.18063,217.7029951,2.146271844,40.7,1.6646,0.2723,0.0098,1.1,7.92
AB2MC1,A,2,MC1,1,12_27_23,2.030864472,0.18063,41.22112313,2.445265054,130.79,1.6646,0.2317,0.0098,1.72,7.54
AB2MC2,A,2,MC2,1,12_27_23,LOD,0.18063,101.6440792,1.978639593,35.39,1.6646,0.1301,0.0098,0.66,7.6
AB3PC0,A,3,PC0,1,12_27_23,LOD,0.18063,24.50434208,2.445265054,53.19,1.6646,0.1641,0.0098,0.57,7.57
AB3PC1,A,3,PC1,1,12_27_23,2.65874384,0.18063,4.704676414,2.445265054,144.58,1.6646,0.3156,0.0098,1.61,7.23
AB3PC2,A,3,PC2,1,12_27_23,0.25521075,0.18063,103.4481254,2.083959905,69.72,1.6646,0.585,0.0098,0.88,7.37
AB3MC0,A,3,MC0,1,12_27_23,NA,0.18063,NA,NA,NA,1.6646,NA,0.0098,NA,NA
AB3MC1,A,3,MC1,1,12_27_23,0.315485591,0.18063,19.43173879,2.445265054,119.48,1.6646,0.2531,0.0098,1.5,7.05
AB3MC2,A,3,MC2,1,12_27_23,NA,0.18063,NA,NA,NA,1.6646,NA,0.0098,NA,NA
AB4PC0,A,4,PC0,1,12_27_23,6.752917768,0.18063,NA,NA,NA,1.6646,NA,0.0098,NA,NA
AB4PC1,A,4,PC1,1,12_27_23,LOD,0.18063,65.87004166,2.445265054,52.52,1.6646,0.4663,0.0098,0.6,7.36
AB4PC2,A,4,PC2,1,12_27_23,NA,0.18063,NA,NA,NA,1.6646,NA,0.0098,NA,NA
AB4MC0,A,4,MC0,1,12_27_23,LOD,0.18063,83.25058696,2.445265054,52.74,1.6646,0.1619,0.0098,0.99,8.04
AB4MC1,A,4,MC1,1,12_27_23,0.607632101,0.18063,4.224941996,2.445265054,105.28,1.6646,0.263,0.0098,1.32,7.96
AB4MC2,A,4,MC2,1,12_27_23,LOD,0.18063,113.8947815,1.978639593,183.55,1.6646,0.38,0.0098,2.15,7.65
BB1PC0,B,1,PC0,1,12_27_23,0.99127,0.15708,97.58963198,1.978639593,34.07,1.6646,0.1311,0.0098,1.15,8.02
BB1PC1,B,1,PC1,1,12_27_23,1.22648,0.15708,132.921615,1.978639593,26.15,1.6646,0.158,0.0098,1.41,8.03
BB1PC2,B,1,PC2,1,12_27_23,2.65639,0.15708,89.23704022,2.445265054,56.94,1.6646,0.1197,0.0098,1.56,7.93
BB1MC0,B,1,MC0,1,12_27_23,1.38826,0.15708,151.6893907,1.978639593,38.8,1.6646,0.1692,0.0098,1.31,8
BB1MC1,B,1,MC1,1,12_27_23,3.34572,0.15708,125.6835604,1.978639593,33.445,1.6646,0.0649,0.0098,1.06,8.04
BB1MC2,B,1,MC2,1,12_27_23,0.91372,0.15708,245.1086912,2.146271844,40.37,1.6646,0.2019,0.0098,2.19,7.83
BB2PC0,B,2,PC0,1,12_27_23,0.63198,0.15708,115.0777191,1.978639593,25.76,1.6646,0.1519,0.0098,1.49,8.34
BB2PC1,B,2,PC1,1,12_27_23,0.55541,0.15708,77.64319612,2.445265054,62.22,1.6646,0.141,0.0098,1.93,7.89
BB2PC2,B,2,PC2,1,12_27_23,NA,0.15708,NA,NA,NA,1.6646,NA,0.0098,NA,NA
BB2MC0,B,2,MC0,1,12_27_23,0.53165,0.15708,236.7848956,2.146271844,66.18,1.6646,0.2394,0.0098,2.48,7.84
BB2MC1,B,2,MC1,1,12_27_23,1.33564,0.15708,81.4873641,2.445265054,140.03,1.6646,0.2356,0.0098,3.26,7.5
BB2MC2,B,2,MC2,1,12_27_23,0.88093,0.15708,195.8894971,2.146271844,69.97,1.6646,0.1673,0.0098,2.43,7.87
BB3PC0,B,3,PC0,1,12_27_23,LOD,0.15708,7.649145368,2.445265054,58.29,1.6646,1.843,0.0098,2,7.71
BB3PC1,B,3,PC1,1,12_27_23,NA,0.15708,NA,NA,NA,1.6646,NA,0.0098,NA,NA
BB3PC2,B,3,PC2,1,12_27_23,LOD,0.15708,194.4550068,2.146271844,26.01,1.6646,0.2065,0.0098,1.56,7.99
BB3MC0,B,3,MC0,1,12_27_23,NA,0.15708,NA,NA,NA,1.6646,NA,0.0098,NA,NA
BB3MC1,B,3,MC1,1,12_27_23,NA,0.15708,NA,NA,NA,1.6646,NA,0.0098,NA,NA
